coc_number,coc_name,overall_homeless,sheltered_total_homeless,unsheltered_homeless,overall_homeless_male,overall_homeless_female,overall_homeless_white,overall_homeless_hispanic_latino,overall_homeless_black_african_american_or_african,overall_homeless_asian_or_asian_american,labor_force,employed,unemployed,population,affordable_units_total,affordable_units_occupied,affordable_units_vacant,per_capita_income,zhvi_bottom_tier_value,zhvi_all_homes_value,mean_annual_temperature
VA-513,"Harrisonburg, Winchester/Western Virginia CoC",242.0,230.0,12.0,143.0,99.0,186.0,20.0,34.0,2.0,59962,57062,2900,119524,0,0.0,0.0,42182.70907934808,110291.98147253395,193105.4196558304,55.540000000000006
VA-514,"Fredericksburg/Spotsylvania, Stafford Counties CoC",217.0,179.0,38.0,121.0,96.0,111.0,15.0,87.0,1.0,93809,89555,4254,196384,0,0.0,0.0,49921.31204171419,189194.0266457999,289398.1595995448,55.54
VA-521,Virginia Balance of State CoC,773.0,634.0,139.0,411.0,360.0,427.0,35.0,286.0,10.0,431192,408345,22847,949436,0,0.0,0.0,38220.74850964151,67745.37398984483,144189.61528960406,55.54
VA-600,Arlington County CoC,239.0,200.0,39.0,149.0,90.0,69.0,38.0,153.0,7.0,144902,140880,4022,228887,0,0.0,0.0,85836.0,311716.61362845264,577109.769973775,55.54
VA-602,Loudoun County CoC,172.0,133.0,39.0,85.0,87.0,96.0,31.0,55.0,4.0,200891,193830,7061,374176,0,0.0,0.0,71494.0,335569.09312895476,492949.9409660816,55.54
VT-500,Vermont Balance of State CoC,1052.0,984.0,68.0,568.0,484.0,973.0,35.0,72.0,0.0,251149,241465,9684,464275,0,0.0,0.0,47458.30535566205,103335.59443427427,175352.8308797648,43.74
VT-501,Burlington/Chittenden County CoC,471.0,389.0,82.0,285.0,184.0,390.0,12.0,62.0,3.0,95366,92799,2567,161535,0,0.0,0.0,55996.0,178047.16119258243,269211.0356045744,43.74
WA-500,Seattle/King County CoC,10122.0,6319.0,3803.0,6670.0,3418.0,4658.0,1319.0,3340.0,291.0,1185074,1136052,49022,2127372,0,0.0,0.0,75367.0,253674.15021836397,421122.9561062648,50.47
WA-501,Washington Balance of State CoC,5489.0,3162.0,2327.0,3038.0,2445.0,4668.0,1074.0,226.0,42.0,965476,904154,61322,2128607,0,0.0,0.0,42719.91148013701,132078.9751792242,219416.0568567839,50.470000000000006
WA-502,Spokane City & County CoC,1034.0,902.0,132.0,592.0,440.0,830.0,77.0,69.0,10.0,227863,213461,14402,488970,0,0.0,0.0,40635.0,112273.89203737077,184241.00864770822,50.47
